Type,Family,WineColour,Titre,Texte,Medaillon,,Couleur
Carte,Nose,"red,white",Floral,"Blossom, rose, violet",smell,,
Carte,Nose,white,Green Fruit,"Apple, Pear, Gooseberry, Grape",smell,,
Carte,Nose,white,Citrus Fruit,"Lemon, Lime, Grapefruit",smell,,
Carte,Nose,white,Stone Fruit,"Peach, Apricot, Nectarine",smell,,
Carte,Nose,white,Tropical Fruit,"Banana, Lychee, Mango, Melon, Passion Fruit, Pineapple",smell,,
Carte,Nose,red,Red Fruit,"Redcurrant, Cranberry, Raspberry, Strawberry, Red cherry, plum",smell,,
Carte,Nose,red,Black Fruit,"Blackcurrant, Blackberry, Blueberry, Black cherry",smell,,
Carte,Nose,red,Dried Fruit,"Fig, Prune, Raisin, Sultana, Kirsch",smell,,
Carte,Nose,"red,white",Herbaceous,"Grass, Asparagus, Leaf",smell,,
Carte,Nose,"red,white",Herbal,"Eucalyptus, Mint, Medicinal, Fennel, Dill",smell,,
Carte,Nose,"red,white",Spice,"Cinnamon, Cloves, Ginger, Nutmeg, Vanilla, pepper, liquorice, juniper",smell,,
Carte,Nose,"red,white",Dairy,"Butter, Cheese, Cream, Yogurt, Yeast, Biscuit, Bread, Toast, Pastry, Lees",smell,,
Carte,Nose,"red,white",Oak,"Vanilla, Toast, Cedar, Charred wood, Smoke, Resinious, Almond, Coconut, Hazelnut, Walnut, Chocolate, Coffee",smell,,
